_c0,Player,height,weight,collage,born,birth_city,birth_state,First_Name,Last_Name
77,Bob Harrison,201,88,Oklahoma State University,1927,Linden,Tennessee,Bob,Harrison
78,Billy Hassett,180,81,University of Notre Dame,1921,Unknown,Unknown,Billy,Hassett
79,Marshall Hawkins,190,92,University of Tennessee,1924,Huntington,West Virginia,Marshall,Hawkins
80,Bill Henry,206,97,Rice University,1924,Dallas,Texas,Bill,Henry
81,Bill Herman,190,77,Mount Union College,1924,Unknown,Unknown,Bill,Herman
82,Kleggie Hermsen,206,102,University of Minnesota,1923,Hill City,Minnesota,Kleggie,Hermsen
83,Sonny Hertzberg,178,79,City College of New York,1922,Brooklyn,New York,Sonny,Hertzberg
84,Paul Hoffman,188,88,Purdue University,1925,Unknown,Unknown,Paul,Hoffman
85,Joe Holland,193,83,University of Kentucky,1925,Unknown,Unknown,Joe,Holland
86,Red Holzman*,178,79,City College of New York,1920,Brooklyn,New York,Red,Holzman*
87,Gene James,193,81,Marshall University,1925,Ironton,Ohio,Gene,James
88,Howie Janotta,190,83,Seton Hall University,1924,Unknown,Unknown,Howie,Janotta
89,Tony Jaros,190,83,University of Minnesota,1920,Minneapolis,Minnesota,Tony,Jaros
90,Buddy Jeannette*,180,79,Washington & Jefferson College,1917,New Kensington,Pennsylvania,Buddy,Jeannette*
91,Arnie Johnson,196,107,Bemidji State University,1920,Gonvick,Minnesota,Arnie,Johnson
92,Ralph Johnson,180,77,Huntington University,1921,Unknown,Unknown,Ralph,Johnson
93,Wah Wah,180,77,Unknown,1921,Unknown,Unknown,Wah,Wah
